iter	Passed	Remaining
0	0	645
1	1	607
2	1	592
3	2	575
4	2	558
5	3	536
6	3	529
7	4	526
8	4	519
9	5	513
10	5	509
11	6	503
12	6	500
13	7	500
14	7	495
15	7	491
16	8	488
17	8	487
18	9	485
19	9	485
20	10	488
21	10	486
22	11	487
23	11	485
24	12	485
25	12	482
26	13	480
27	13	476
28	14	476
29	14	475
30	15	474
31	15	473
32	16	474
33	16	475
34	17	474
35	17	475
36	18	474
37	18	474
38	19	474
39	19	473
40	20	474
41	20	473
42	21	472
43	21	470
44	22	470
45	22	469
46	23	469
47	23	469
48	24	470
49	24	470
50	25	468
51	25	468
52	26	467
53	26	466
54	27	465
55	27	464
56	28	463
57	28	461
58	28	460
59	29	459
60	29	458
61	30	457
62	30	457
63	31	457
64	31	456
65	32	455
66	32	454
67	33	453
68	33	452
69	33	450
70	34	449
71	34	448
72	35	447
73	35	446
74	36	446
75	36	446
76	37	444
77	37	444
78	38	444
79	38	443
80	39	443
81	39	442
82	39	439
83	40	439
84	40	438
85	41	436
86	41	436
87	42	435
88	42	435
89	43	435
90	43	434
91	43	433
92	44	434
93	44	433
94	45	432
95	45	431
96	46	430
97	46	430
98	47	429
99	47	429
100	48	428
101	48	428
102	49	427
103	49	426
104	49	426
105	50	425
106	50	425
107	51	424
108	51	424
109	52	423
110	52	423
111	53	423
112	53	422
113	54	422
114	54	422
115	55	421
116	55	420
117	56	420
118	56	420
119	57	419
120	57	419
121	58	418
122	58	417
123	59	417
124	59	416
125	60	416
126	60	415
127	60	414
128	61	414
129	61	413
130	62	412
131	62	412
132	63	412
133	63	411
134	64	411
135	64	411
136	65	410
137	65	410
138	66	409
139	66	409
140	67	409
141	67	407
142	68	407
143	68	407
144	69	407
145	69	406
146	69	405
147	70	405
148	70	404
149	71	404
150	71	403
151	72	403
152	72	402
153	73	401
154	73	401
155	74	401
156	74	401
157	75	400
158	75	400
159	76	399
160	76	398
161	76	398
162	77	397
163	77	397
164	78	396
165	78	396
166	79	395
167	79	396
168	80	396
169	81	395
170	81	394
171	81	394
172	82	393
173	82	393
174	83	392
175	83	391
176	84	391
177	84	390
178	84	389
179	85	389
180	85	388
181	86	387
182	86	386
183	87	386
184	87	385
185	87	384
186	88	383
187	88	383
188	89	382
189	89	382
190	90	381
191	90	380
192	90	380
193	91	379
194	91	378
195	92	378
196	92	377
197	93	377
198	93	377
199	94	376
200	94	376
201	95	375
202	95	375
203	96	374
204	96	374
205	96	373
206	97	373
207	97	372
208	98	372
209	98	371
210	99	371
211	99	371
212	100	370
213	100	369
214	101	369
215	101	368
216	102	368
217	102	367
218	102	366
219	103	366
220	103	365
221	104	365
222	104	364
223	105	363
224	105	363
225	106	363
226	106	362
227	106	362
228	107	361
229	107	360
230	108	360
231	108	359
232	109	359
233	109	358
234	109	357
235	110	357
236	110	356
237	111	355
238	111	355
239	112	354
240	112	354
241	112	353
242	113	352
243	113	352
244	114	351
245	114	351
246	114	350
247	115	349
248	115	349
249	116	348
250	116	347
251	117	347
252	117	346
253	117	345
254	118	345
255	118	345
256	119	344
257	119	344
258	120	343
259	120	343
260	121	342
261	121	342
262	121	341
263	122	341
264	122	340
265	123	339
266	123	339
267	123	338
268	124	337
269	124	337
270	125	337
271	125	336
272	126	336
273	126	335
274	127	335
275	127	334
276	127	334
277	128	333
278	128	333
279	129	332
280	129	332
281	130	331
282	130	330
283	131	330
284	131	330
285	132	329
286	132	329
287	133	329
288	133	329
289	134	328
290	134	328
291	135	327
292	135	327
293	136	326
294	136	326
295	136	325
296	137	325
297	137	324
298	138	324
299	138	323
300	139	322
301	139	322
302	139	321
303	140	321
304	140	320
305	141	320
306	141	319
307	141	319
308	142	318
309	142	317
310	143	317
311	143	316
312	144	316
313	144	315
314	145	315
315	145	315
316	146	314
317	146	314
318	147	314
319	147	313
320	148	313
321	148	313
322	149	313
323	149	312
324	150	312
325	150	312
326	151	311
327	152	311
328	152	311
329	152	310
330	153	310
331	153	309
332	154	309
333	154	308
334	155	308
335	155	307
336	156	307
337	156	306
338	156	306
339	157	305
340	158	305
341	158	304
342	158	304
343	159	303
344	159	303
345	160	302
346	160	302
347	161	301
348	161	301
349	161	300
350	162	300
351	162	299
352	163	299
353	163	298
354	164	298
355	164	297
356	164	297
357	165	296
358	165	295
359	166	295
360	166	294
361	167	294
362	167	293
363	167	293
364	168	292
365	168	292
366	169	291
367	169	291
368	170	290
369	170	290
370	170	289
371	171	289
372	171	288
373	172	288
374	172	287
375	173	287
376	173	286
377	173	286
378	174	285
379	174	285
380	175	284
381	175	284
382	176	283
383	176	283
384	177	282
385	177	282
386	177	281
387	178	281
388	178	280
389	179	280
390	179	279
391	180	279
392	180	278
393	181	278
394	181	277
395	181	277
396	182	276
397	182	276
398	183	275
399	183	275
400	184	275
401	184	274
402	185	274
403	185	273
404	186	273
405	186	272
406	186	272
407	187	271
408	187	271
409	188	270
410	188	270
411	189	270
412	189	269
413	190	269
414	190	268
415	190	268
416	191	267
417	191	266
418	192	266
419	192	265
420	192	265
421	193	264
422	193	264
423	194	263
424	194	263
425	195	263
426	195	262
427	196	262
428	196	261
429	197	261
430	197	260
431	197	260
432	198	259
433	199	259
434	199	259
435	200	259
436	200	258
437	201	258
438	201	257
439	202	257
440	202	256
441	202	256
442	203	255
443	203	255
444	204	254
445	204	254
446	205	253
447	205	253
448	205	252
449	206	252
450	206	251
451	207	251
452	207	250
453	208	250
454	208	249
455	208	249
456	209	248
457	209	248
458	210	247
459	210	247
460	211	246
461	211	246
462	211	245
463	212	245
464	212	244
465	213	244
466	213	243
467	214	243
468	214	242
469	215	242
470	215	241
471	215	241
472	216	241
473	216	240
474	217	240
475	217	239
476	218	239
477	218	238
478	218	237
479	219	237
480	219	237
481	220	236
482	220	236
483	221	235
484	221	235
485	221	234
486	222	234
487	222	233
488	223	233
489	223	232
490	224	232
491	224	231
492	224	231
493	225	230
494	225	230
495	226	229
496	226	229
497	227	228
498	227	228
499	228	228
500	228	227
501	228	227
502	229	226
503	229	226
504	230	225
505	230	225
506	230	224
507	231	224
508	231	223
509	232	223
510	232	222
511	233	222
512	233	221
513	234	221
514	234	220
515	234	220
516	235	219
517	235	219
518	236	218
519	236	218
520	237	217
521	237	217
522	237	216
523	238	216
524	238	215
525	239	215
526	239	215
527	240	214
528	240	214
529	240	213
530	241	213
531	241	212
532	242	212
533	242	211
534	243	211
535	243	210
536	243	210
537	244	209
538	244	209
539	245	208
540	245	208
541	246	208
542	246	207
543	247	207
544	247	206
545	248	206
546	248	205
547	249	205
548	249	205
549	249	204
550	250	204
551	250	203
552	251	203
553	251	202
554	252	202
555	252	201
556	253	201
557	253	200
558	253	200
559	254	199
560	254	199
561	255	198
562	255	198
563	256	197
564	256	197
565	256	196
566	257	196
567	257	195
568	258	195
569	258	195
570	259	194
571	259	194
572	259	193
573	260	193
574	260	192
575	261	192
576	261	191
577	262	191
578	262	190
579	262	190
580	263	189
581	263	189
582	264	189
583	264	188
584	265	188
585	265	187
586	266	187
587	266	186
588	266	186
589	267	185
590	267	185
591	268	184
592	268	184
593	269	183
594	269	183
595	269	182
596	270	182
597	270	182
598	271	181
599	271	181
600	272	180
601	272	180
602	273	179
603	273	179
604	273	178
605	274	178
606	274	177
607	275	177
608	275	177
609	276	176
610	276	176
611	277	175
612	277	175
613	278	174
614	278	174
615	279	173
616	279	173
617	279	172
618	280	172
619	280	172
620	281	171
621	281	171
622	282	170
623	282	170
624	282	169
625	283	169
626	283	168
627	284	168
628	284	167
629	285	167
630	285	167
631	286	166
632	286	166
633	287	165
634	287	165
635	287	164
636	288	164
637	288	163
638	289	163
639	289	162
640	289	162
641	290	161
642	290	161
643	291	161
644	291	160
645	292	160
646	292	159
647	293	159
648	293	158
649	293	158
650	294	157
651	294	157
652	295	156
653	295	156
654	296	155
655	296	155
656	296	154
657	297	154
658	297	154
659	298	153
660	298	153
661	298	152
662	299	152
663	299	151
664	300	151
665	300	150
666	301	150
667	301	149
668	301	149
669	302	148
670	302	148
671	303	147
672	303	147
673	304	147
674	304	146
675	304	146
676	305	145
677	305	145
678	306	144
679	306	144
680	306	143
681	307	143
682	307	142
683	308	142
684	308	141
685	309	141
686	309	141
687	310	140
688	310	140
689	310	139
690	311	139
691	311	138
692	312	138
693	312	137
694	313	137
695	313	136
696	314	136
697	314	136
698	314	135
699	315	135
700	315	134
701	316	134
702	316	133
703	317	133
704	317	132
705	317	132
706	318	131
707	318	131
708	319	130
709	319	130
710	320	130
711	320	129
712	320	129
713	321	128
714	321	128
715	322	127
716	322	127
717	323	126
718	323	126
719	324	126
720	324	125
721	324	125
722	325	124
723	325	124
724	326	123
725	326	123
726	327	122
727	327	122
728	327	121
729	328	121
730	328	120
731	329	120
732	329	120
733	329	119
734	330	119
735	330	118
736	331	118
737	331	117
738	332	117
739	332	116
740	332	116
741	333	115
742	333	115
743	334	114
744	334	114
745	335	114
746	335	113
747	336	113
748	336	112
749	337	112
750	337	111
751	338	111
752	338	111
753	339	110
754	339	110
755	339	109
756	340	109
757	340	108
758	341	108
759	341	107
760	342	107
761	342	107
762	343	106
763	343	106
764	343	105
765	344	105
766	344	104
767	345	104
768	345	103
769	346	103
770	346	102
771	346	102
772	347	102
773	347	101
774	348	101
775	348	100
776	349	100
777	349	99
778	350	99
779	350	98
780	350	98
781	351	97
782	351	97
783	352	97
784	352	96
785	353	96
786	353	95
787	354	95
788	354	94
789	354	94
790	355	93
791	355	93
792	356	93
793	356	92
794	357	92
795	357	91
796	357	91
797	358	90
798	358	90
799	359	89
800	359	89
801	360	88
802	360	88
803	361	88
804	361	87
805	362	87
806	362	86
807	362	86
808	363	85
809	363	85
810	364	84
811	364	84
812	364	83
813	365	83
814	366	83
815	366	82
816	366	82
817	367	81
818	367	81
819	368	80
820	368	80
821	369	79
822	369	79
823	370	79
824	370	78
825	370	78
826	371	77
827	371	77
828	372	76
829	372	76
830	373	75
831	373	75
832	373	74
833	374	74
834	374	74
835	375	73
836	375	73
837	376	72
838	376	72
839	376	71
840	377	71
841	377	70
842	378	70
843	378	69
844	378	69
845	379	69
846	379	68
847	380	68
848	380	67
849	381	67
850	381	66
851	381	66
852	382	65
853	382	65
854	383	65
855	383	64
856	384	64
857	384	63
858	385	63
859	385	62
860	385	62
861	386	61
862	386	61
863	387	60
864	387	60
865	388	60
866	388	59
867	388	59
868	389	58
869	389	58
870	390	57
871	390	57
872	391	56
873	391	56
874	392	56
875	392	55
876	393	55
877	393	54
878	393	54
879	394	53
880	395	53
881	395	52
882	396	52
883	396	52
884	397	51
885	397	51
886	397	50
887	398	50
888	399	49
889	399	49
890	399	48
891	400	48
892	400	48
893	401	47
894	401	47
895	402	46
896	402	46
897	402	45
898	403	45
899	403	44
900	404	44
901	404	43
902	405	43
903	405	43
904	406	42
905	406	42
906	407	41
907	407	41
908	407	40
909	408	40
910	408	39
911	409	39
912	409	39
913	410	38
914	410	38
915	410	37
916	411	37
917	411	36
918	412	36
919	412	35
920	413	35
921	413	34
922	414	34
923	414	34
924	414	33
925	415	33
926	415	32
927	416	32
928	416	31
929	417	31
930	417	30
931	418	30
932	418	30
933	418	29
934	419	29
935	419	28
936	420	28
937	420	27
938	421	27
939	421	26
940	421	26
941	422	26
942	422	25
943	423	25
944	423	24
945	424	24
946	424	23
947	424	23
948	425	22
949	425	22
950	426	21
951	426	21
952	427	21
953	427	20
954	428	20
955	428	19
956	428	19
957	429	18
958	429	18
959	430	17
960	430	17
961	431	17
962	431	16
963	431	16
964	432	15
965	432	15
966	433	14
967	433	14
968	434	13
969	434	13
970	434	12
971	435	12
972	435	12
973	436	11
974	436	11
975	437	10
976	437	10
977	438	9
978	438	9
979	439	8
980	439	8
981	440	8
982	440	7
983	441	7
984	441	6
985	442	6
986	442	5
987	443	5
988	443	4
989	444	4
990	444	4
991	445	3
992	445	3
993	446	2
994	446	2
995	446	1
996	447	1
997	447	0
998	448	0
999	448	0
